"DATE & TIME","USER NAME","EVENT","TARGET NAME","PROJECT NAME"
"2026-01-13T23:02:59.125Z","production_programmer","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:02:58.486Z","production_programmer","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:02:48.516Z","production_programmer","View Repo File","","CDISC01_CSR"
"2026-01-13T23:02:34.301Z","study_lead","Update Governance Bundle Stage Assignee","T_VSCAT Output","CDISC01_CSR"
"2026-01-13T23:02:31.152Z","study_lead","Update Governance Bundle Stage Assignee","T_AE_REL Output","CDISC01_CSR"
"2026-01-13T23:02:29.151Z","study_lead","Update Governance Bundle Stage Assignee","T_AE_REL Output","CDISC01_CSR"
"2026-01-13T23:02:25.078Z","study_lead","Update Governance Bundle Stage Assignee","T_POP Output","CDISC01_CSR"
"2026-01-13T23:02:22.911Z","study_lead","Update Governance Bundle Stage Assignee","T_POP Output","CDISC01_CSR"
"2026-01-13T23:02:18.500Z","study_lead","Update Governance Bundle Stage Assignee","ADVS Dataset","CDISC01_CSR"
"2026-01-13T23:02:13.732Z","study_lead","Update Governance Bundle Stage Assignee","ADLB Dataset","CDISC01_CSR"
"2026-01-13T23:02:05.456Z","study_lead","Update Governance Bundle Stage Assignee","ADMH Dataset","CDISC01_CSR"
"2026-01-13T23:02:01.242Z","study_lead","Update Governance Bundle Stage Assignee","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:01:59.258Z","study_lead","Update Governance Bundle Stage Assignee","ADCM Dataset","CDISC01_CSR"
"2026-01-13T23:01:54.400Z","study_lead","Update Governance Bundle Stage Assignee","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:01:52.107Z","study_lead","Update Governance Bundle Stage Assignee","ADAE Dataset","CDISC01_CSR"
"2026-01-13T23:01:28.556Z","study_lead","Submit Results in a Bundle","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:01:23.290Z","study_lead","Update Governance Bundle Stage Assignee","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:01:20.344Z","study_lead","Update Governance Bundle Stage Assignee","ADSL Dataset","CDISC01_CSR"
"2026-01-13T23:00:14.995Z","ross_domino","View Repo File","","CDISC01_CSR"
"2026-01-13T22:59:59.064Z","ross_domino","Add Users To Organization","qc_programmer",""
"2026-01-13T22:59:35.544Z","qc_programmer","Create Project","quick-start","quick-start"
"2026-01-13T22:59:32.823Z","qc_programmer","Add Grant For Dataset","qc_programmer","quick-start"
"2026-01-13T22:59:32.816Z","qc_programmer","Create Dataset","quick-start","quick-start"
"2026-01-13T22:54:35.586Z","study_lead","Create Governance Bundle","T_VSCAT Output","CDISC01_CSR"
"2026-01-13T22:54:35.583Z","study_lead","Add Policy to Governance Bundle","T_VSCAT Output","CDISC01_CSR"
"2026-01-13T22:54:08.479Z","study_lead","Create Governance Bundle","T_AE_REL Output","CDISC01_CSR"
"2026-01-13T22:54:08.477Z","study_lead","Add Policy to Governance Bundle","T_AE_REL Output","CDISC01_CSR"
"2026-01-13T22:53:54.566Z","study_lead","Create Governance Bundle","T_POP Output","CDISC01_CSR"
"2026-01-13T22:53:54.563Z","study_lead","Add Policy to Governance Bundle","T_POP Output","CDISC01_CSR"
"2026-01-13T22:53:18.502Z","study_lead","Create Governance Bundle","ADVS Dataset","CDISC01_CSR"
"2026-01-13T22:53:18.499Z","study_lead","Add Policy to Governance Bundle","ADVS Dataset","CDISC01_CSR"
"2026-01-13T22:53:09.345Z","study_lead","Create Governance Bundle","ADLB Dataset","CDISC01_CSR"
"2026-01-13T22:53:09.341Z","study_lead","Add Policy to Governance Bundle","ADLB Dataset","CDISC01_CSR"
"2026-01-13T22:52:53.299Z","study_lead","Change Governance Bundle State","ADLB","CDISC01_CSR"
"2026-01-13T22:52:46.892Z","study_lead","Create Governance Bundle","ADMH Dataset","CDISC01_CSR"
"2026-01-13T22:52:46.887Z","study_lead","Add Policy to Governance Bundle","ADMH Dataset","CDISC01_CSR"
"2026-01-13T22:52:33.538Z","study_lead","Create Governance Bundle","ADLB","CDISC01_CSR"
"2026-01-13T22:52:33.535Z","study_lead","Add Policy to Governance Bundle","ADLB","CDISC01_CSR"
"2026-01-13T22:52:24.264Z","study_lead","Create Governance Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T22:52:24.261Z","study_lead","Add Policy to Governance Bundle","ADCM Dataset","CDISC01_CSR"
"2026-01-13T22:50:44.643Z","study_lead","Create Governance Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T22:50:44.640Z","study_lead","Add Policy to Governance Bundle","ADAE Dataset","CDISC01_CSR"
"2026-01-13T22:49:49.811Z","ross_domino","Stop a Workspace Session","ross_domino's SAS session","CDISC01_CSR"
"2026-01-13T22:49:01.945Z","ross_domino","Delete Governance Policy","TFL Deliverable",""
"2026-01-13T22:47:58.830Z","study_lead","View Repo File","","CDISC01_CSR"
"2026-01-13T22:47:45.277Z","ross_domino","View Repo File","","CDISC01_CSR"
